ba,year_month,actual,arima_forecast,model
ERCO,2024-01,51451.44489247312,43995.84700041736,ARIMA
ERCO,2024-02,44137.85201149425,46157.38581365141,ARIMA
ERCO,2024-03,43609.092741935485,42846.009572857314,ARIMA
ERCO,2024-04,46641.8375,43371.808129614525,ARIMA
ERCO,2024-05,54006.56989247312,49768.432107606495,ARIMA
ERCO,2024-06,61924.24583333333,59381.84527317098,ARIMA
ERCO,2024-07,60200.5564516129,63341.60078921092,ARIMA
ERCO,2024-08,66625.87096774194,65799.87416752185,ARIMA
ERCO,2024-09,57319.57222222223,58451.39310876382,ARIMA
ERCO,2024-10,53242.59811827957,47638.81925228738,ARIMA
ERCO,2024-11,46997.958333333336,44057.353846753154,ARIMA
ERCO,2024-12,46893.99596774193,45469.1420546582,ARIMA
ERCO,2025-01,54343.4435483871,44735.63937866218,ARIMA
ERCO,2025-02,51558.92857142857,46877.2962456216,ARIMA
ERCO,2025-03,46653.3373655914,43503.112979384285,ARIMA
ERCO,2025-04,50724.02777777778,44064.37221903394,ARIMA
ERCO,2025-05,55316.38978494624,50485.533207019944,ARIMA
ERCO,2025-06,62702.97638888889,60022.067707093076,ARIMA
ERCO,2025-07,64235.845430107525,63951.0562760509,ARIMA
ERCO,2025-08,66511.31989247311,66278.50583205237,ARIMA
ERCO,2025-09,61071.38055555556,58979.74111080212,ARIMA
ERCO,2025-10,55205.01075268817,48261.298649103344,ARIMA
ERCO,2025-11,49238.475,44740.44848725721,ARIMA
ERCO,2025-12,50607.34811827957,46174.03089617839,ARIMA
MISO,2024-01,78408.74462365592,70937.03754740181,ARIMA
MISO,2024-02,69294.91522988505,70562.30524706321,ARIMA
MISO,2024-03,65759.72177419355,67208.11664331741,ARIMA
MISO,2024-04,64904.52916666667,62940.65175724734,ARIMA
MISO,2024-05,69897.55107526881,66179.67774618798,ARIMA
MISO,2024-06,80856.60138888888,76425.11366665244,ARIMA
MISO,2024-07,84431.44444444444,81244.86327393532,ARIMA
MISO,2024-08,85090.06182795699,82219.30272271772,ARIMA
MISO,2024-09,74850.21666666666,72328.07580622632,ARIMA
MISO,2024-10,67434.81854838709,65402.89731437098,ARIMA
MISO,2024-11,68138.94722222222,66042.02116326499,ARIMA
MISO,2024-12,73915.0873655914,68871.84413611749,ARIMA
MISO,2025-01,81512.72446236559,71493.19471347099,ARIMA
MISO,2025-02,77219.24851190476,71330.5810944684,ARIMA
MISO,2025-03,66972.9059139785,67567.99744945414,ARIMA
MISO,2025-04,66402.62916666667,63838.46389327874,ARIMA
MISO,2025-05,68006.90188172043,66601.37670798993,ARIMA
MISO,2025-06,81896.98472222222,76426.4174322902,ARIMA
MISO,2025-07,90555.063172043,80862.51893324946,ARIMA
MISO,2025-08,84292.60349462366,81647.5353379049,ARIMA
MISO,2025-09,76278.08194444445,72270.06930978246,ARIMA
MISO,2025-10,69534.38306451614,66191.34644643523,ARIMA
MISO,2025-11,68854.22777777778,66585.82802093078,ARIMA
MISO,2025-12,77578.44220430107,69722.82585466575,ARIMA
PJM,2024-01,101447.97983870968,93193.98193201111,ARIMA
PJM,2024-02,92709.71264367815,90889.57683110838,ARIMA
PJM,2024-03,84578.36565096953,86846.24474067084,ARIMA
PJM,2024-04,80583.55555555556,78673.17929254657,ARIMA
PJM,2024-05,85609.93010752689,79951.72244744495,ARIMA
PJM,2024-06,102136.54583333334,89098.97025593082,ARIMA
PJM,2024-07,109674.4260752688,104088.73652764011,ARIMA
PJM,2024-08,104366.62096774194,100025.4080678546,ARIMA
PJM,2024-09,89483.8736111111,89009.35319111572,ARIMA
PJM,2024-10,80161.65994623656,80321.11772562892,ARIMA
PJM,2024-11,84010.70694444445,85829.62332829105,ARIMA
PJM,2024-12,98247.75,91245.71514611787,ARIMA
PJM,2025-01,110158.25,96315.44173855934,ARIMA
PJM,2025-02,102043.66369047618,94271.63895350238,ARIMA
PJM,2025-03,86826.82661290323,89619.33835130442,ARIMA
PJM,2025-04,82605.08333333333,82243.03170779318,ARIMA
PJM,2025-05,82345.64650537634,83552.2712814358,ARIMA
PJM,2025-06,103515.2375,92624.1247851814,ARIMA
PJM,2025-07,116275.43413978496,106032.15773293862,ARIMA
PJM,2025-08,101446.6317204301,102452.11507450453,ARIMA
PJM,2025-09,91492.72083333334,91702.74881033714,ARIMA
PJM,2025-10,83744.54166666667,83875.20327791238,ARIMA
PJM,2025-11,89198.05833333333,88539.92350463192,ARIMA
PJM,2025-12,105223.1559139785,94473.7780759092,ARIMA
