ba,year_month,actual,prophet_forecast,model
ERCO,2024-01,51451.44489247312,48843.2851114532,Prophet
ERCO,2024-02,44137.85201149425,49753.96969614711,Prophet
ERCO,2024-03,43609.092741935485,44227.24149945664,Prophet
ERCO,2024-04,46641.8375,47581.86080664401,Prophet
ERCO,2024-05,54006.56989247312,52564.928562245594,Prophet
ERCO,2024-06,61924.24583333333,62078.552763225445,Prophet
ERCO,2024-07,60200.5564516129,65125.268520741345,Prophet
ERCO,2024-08,66625.87096774194,65672.2976981452,Prophet
ERCO,2024-09,57319.57222222223,57017.370374295446,Prophet
ERCO,2024-10,53242.59811827957,53127.459044563184,Prophet
ERCO,2024-11,46997.958333333336,48060.95253041283,Prophet
ERCO,2024-12,46893.99596774193,49359.05229181571,Prophet
ERCO,2025-01,54343.4435483871,50967.26741857526,Prophet
ERCO,2025-02,51558.92857142857,53566.493305904536,Prophet
ERCO,2025-03,46653.3373655914,48766.7804706935,Prophet
ERCO,2025-04,50724.02777777778,49028.20203308693,Prophet
ERCO,2025-05,55316.38978494624,55783.68957721331,Prophet
ERCO,2025-06,62702.97638888889,64028.956766472096,Prophet
ERCO,2025-07,64235.845430107525,68323.50620899144,Prophet
ERCO,2025-08,66511.31989247311,67026.16430574136,Prophet
ERCO,2025-09,61071.38055555556,60294.87866204353,Prophet
ERCO,2025-10,55205.01075268817,55492.61722871905,Prophet
ERCO,2025-11,49238.475,51053.1170341381,Prophet
ERCO,2025-12,50607.34811827957,53161.799263586436,Prophet
MISO,2024-01,78408.74462365592,74718.10888298563,Prophet
MISO,2024-02,69294.91522988505,73280.91349986837,Prophet
MISO,2024-03,65759.72177419355,54488.53141636863,Prophet
MISO,2024-04,64904.52916666667,62502.35808764154,Prophet
MISO,2024-05,69897.55107526881,64914.755144101226,Prophet
MISO,2024-06,80856.60138888888,80412.77905092656,Prophet
MISO,2024-07,84431.44444444444,87119.39209733566,Prophet
MISO,2024-08,85090.06182795699,83748.49031229687,Prophet
MISO,2024-09,74850.21666666666,70245.89443170946,Prophet
MISO,2024-10,67434.81854838709,68197.9180082606,Prophet
MISO,2024-11,68138.94722222222,65982.58907967118,Prophet
MISO,2024-12,73915.0873655914,72897.55341335243,Prophet
MISO,2025-01,81512.72446236559,74951.84828573243,Prophet
MISO,2025-02,77219.24851190476,77338.74702265947,Prophet
MISO,2025-03,66972.9059139785,66595.0685050794,Prophet
MISO,2025-04,66402.62916666667,62451.71763530569,Prophet
MISO,2025-05,68006.90188172043,65489.13462546749,Prophet
MISO,2025-06,81896.98472222222,78791.83341916728,Prophet
MISO,2025-07,90555.063172043,85288.34798949314,Prophet
MISO,2025-08,84292.60349462366,82665.37466828675,Prophet
MISO,2025-09,76278.08194444445,70556.80155709966,Prophet
MISO,2025-10,69534.38306451614,58855.53062892809,Prophet
MISO,2025-11,68854.22777777778,66401.29193482452,Prophet
MISO,2025-12,77578.44220430107,71822.86563658695,Prophet
PJM,2024-01,101447.97983870968,93629.3199123906,Prophet
PJM,2024-02,92709.71264367815,90183.12623188019,Prophet
PJM,2024-03,84578.36565096953,80224.71140382583,Prophet
PJM,2024-04,80583.55555555556,73991.99097521677,Prophet
PJM,2024-05,85609.93010752689,75981.4324286642,Prophet
PJM,2024-06,102136.54583333334,94584.14849483638,Prophet
PJM,2024-07,109674.4260752688,107569.42678669661,Prophet
PJM,2024-08,104366.62096774194,103164.65753213846,Prophet
PJM,2024-09,89483.8736111111,85734.10822229063,Prophet
PJM,2024-10,80161.65994623656,76421.42358264017,Prophet
PJM,2024-11,84010.70694444445,79909.92767151857,Prophet
PJM,2024-12,98247.75,90394.90708407802,Prophet
PJM,2025-01,110158.25,97425.74827637285,Prophet
PJM,2025-02,102043.66369047618,96747.80790410489,Prophet
PJM,2025-03,86826.82661290323,81510.83666341387,Prophet
PJM,2025-04,82605.08333333333,73794.721566644,Prophet
PJM,2025-05,82345.64650537634,76105.85851093585,Prophet
PJM,2025-06,103515.2375,91643.38519924326,Prophet
PJM,2025-07,116275.43413978496,105332.4828644624,Prophet
PJM,2025-08,101446.6317204301,100962.74434839441,Prophet
PJM,2025-09,91492.72083333334,85767.8803390872,Prophet
PJM,2025-10,83744.54166666667,75484.00332315013,Prophet
PJM,2025-11,89198.05833333333,80415.93925638177,Prophet
PJM,2025-12,105223.1559139785,89394.58549015224,Prophet
