ba,year_month,actual,xgboost_forecast,model
ERCO,2024-01,51451.44489247312,46462.797,XGBoost
ERCO,2024-02,44137.85201149425,45576.984,XGBoost
ERCO,2024-03,43609.092741935485,44521.883,XGBoost
ERCO,2024-04,46641.8375,44487.95,XGBoost
ERCO,2024-05,54006.56989247312,51103.69,XGBoost
ERCO,2024-06,61924.24583333333,58399.242,XGBoost
ERCO,2024-07,60200.5564516129,58711.94,XGBoost
ERCO,2024-08,66625.87096774194,60968.457,XGBoost
ERCO,2024-09,57319.57222222223,53785.047,XGBoost
ERCO,2024-10,53242.59811827957,48390.574,XGBoost
ERCO,2024-11,46997.958333333336,44198.176,XGBoost
ERCO,2024-12,46893.99596774193,45242.676,XGBoost
ERCO,2025-01,54343.4435483871,46507.387,XGBoost
ERCO,2025-02,51558.92857142857,46126.99,XGBoost
ERCO,2025-03,46653.3373655914,43694.293,XGBoost
ERCO,2025-04,50724.02777777778,44633.305,XGBoost
ERCO,2025-05,55316.38978494624,45915.277,XGBoost
ERCO,2025-06,62702.97638888889,55457.457,XGBoost
ERCO,2025-07,64235.845430107525,57668.863,XGBoost
ERCO,2025-08,66511.31989247311,57913.355,XGBoost
ERCO,2025-09,61071.38055555556,54625.824,XGBoost
ERCO,2025-10,55205.01075268817,45816.824,XGBoost
ERCO,2025-11,49238.475,43781.215,XGBoost
ERCO,2025-12,50607.34811827957,44984.04,XGBoost
MISO,2024-01,78408.74462365592,77192.016,XGBoost
MISO,2024-02,69294.91522988505,70369.45,XGBoost
MISO,2024-03,65759.72177419355,66987.46,XGBoost
MISO,2024-04,64904.52916666667,65525.383,XGBoost
MISO,2024-05,69897.55107526881,69288.32,XGBoost
MISO,2024-06,80856.60138888888,82087.14,XGBoost
MISO,2024-07,84431.44444444444,84389.23,XGBoost
MISO,2024-08,85090.06182795699,84863.63,XGBoost
MISO,2024-09,74850.21666666666,75335.266,XGBoost
MISO,2024-10,67434.81854838709,68451.68,XGBoost
MISO,2024-11,68138.94722222222,67115.195,XGBoost
MISO,2024-12,73915.0873655914,72974.21,XGBoost
MISO,2025-01,81512.72446236559,77194.28,XGBoost
MISO,2025-02,77219.24851190476,74685.64,XGBoost
MISO,2025-03,66972.9059139785,65970.984,XGBoost
MISO,2025-04,66402.62916666667,63528.18,XGBoost
MISO,2025-05,68006.90188172043,66498.4,XGBoost
MISO,2025-06,81896.98472222222,82260.91,XGBoost
MISO,2025-07,90555.063172043,85948.74,XGBoost
MISO,2025-08,84292.60349462366,82258.86,XGBoost
MISO,2025-09,76278.08194444445,75528.86,XGBoost
MISO,2025-10,69534.38306451614,67109.836,XGBoost
MISO,2025-11,68854.22777777778,68260.79,XGBoost
MISO,2025-12,77578.44220430107,75673.125,XGBoost
PJM,2024-01,101447.97983870968,99297.02,XGBoost
PJM,2024-02,92709.71264367815,95366.625,XGBoost
PJM,2024-03,84578.36565096953,85111.72,XGBoost
PJM,2024-04,80583.55555555556,79325.05,XGBoost
PJM,2024-05,85609.93010752689,83565.734,XGBoost
PJM,2024-06,102136.54583333334,100698.04,XGBoost
PJM,2024-07,109674.4260752688,105106.4,XGBoost
PJM,2024-08,104366.62096774194,100485.74,XGBoost
PJM,2024-09,89483.8736111111,93328.59,XGBoost
PJM,2024-10,80161.65994623656,80237.62,XGBoost
PJM,2024-11,84010.70694444445,81571.24,XGBoost
PJM,2024-12,98247.75,94448.67,XGBoost
PJM,2025-01,110158.25,101125.1,XGBoost
PJM,2025-02,102043.66369047618,95724.26,XGBoost
PJM,2025-03,86826.82661290323,84616.85,XGBoost
PJM,2025-04,82605.08333333333,78779.16,XGBoost
PJM,2025-05,82345.64650537634,83858.0,XGBoost
PJM,2025-06,103515.2375,91531.04,XGBoost
PJM,2025-07,116275.43413978496,105268.164,XGBoost
PJM,2025-08,101446.6317204301,97180.92,XGBoost
PJM,2025-09,91492.72083333334,95460.67,XGBoost
PJM,2025-10,83744.54166666667,80082.33,XGBoost
PJM,2025-11,89198.05833333333,84795.234,XGBoost
PJM,2025-12,105223.1559139785,97634.29,XGBoost
